Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
3559,96,2,2,2,6,2,1,0,3,1,0.0,506.1801321952123,493.8198678047877
3560,96,2,2,2,6,2,1,0,3,1,0.0,506.17962743698195,493.8203725630182
3561,96,2,2,2,6,2,1,0,3,1,0.0,506.1791226787514,493.8208773212484
3562,96,2,2,2,6,2,1,0,3,1,0.0,506.17861792052105,493.82138207947884
3563,96,2,2,2,6,2,1,0,3,1,0.0,506.1781131622907,493.8218868377093
3564,96,2,2,2,6,2,1,0,3,1,0.0,506.1776084040601,493.82239159594
3565,96,2,2,2,6,2,1,0,3,1,0.0,506.1771036458295,493.8228963541704
3566,96,2,2,2,6,2,1,0,3,1,0.0,506.17659888759925,493.8234011124007
3567,96,2,2,2,6,2,1,0,3,1,0.0,506.17609412936866,493.82390587063134
3568,96,2,2,2,6,2,1,0,3,1,0.0,506.1755893711383,493.82441062886187
3569,96,2,2,2,6,2,1,0,3,1,0.0,506.17508461290777,493.82491538709206
3570,96,2,2,2,6,2,1,0,3,1,0.0,506.1745798546774,493.82542014532254
3571,96,2,2,2,6,2,1,0,3,1,0.0,506.17407509644704,493.82592490355296
3572,96,2,2,2,6,2,1,0,3,1,0.0,506.1735703382164,493.8264296617838
3573,96,2,2,2,6,2,1,0,3,1,0.0,506.17306557998586,493.8269344200141
3574,96,2,2,2,6,2,1,0,3,1,0.0,506.17256082175555,493.82743917824433
3575,96,2,2,2,6,2,1,0,3,1,0.0,506.17205606352496,493.82794393647504
3576,96,2,2,2,6,2,1,0,3,1,0.0,506.1715513052946,493.8284486947055
3577,96,2,2,2,6,2,1,0,3,1,0.0,506.1710465470641,493.82895345293576
3578,96,2,2,2,6,2,1,0,3,1,0.0,506.17054178883376,493.8294582111662
3579,96,2,2,2,6,2,1,0,3,1,0.0,506.1700370306034,493.8299629693966
3580,96,2,2,2,6,2,1,0,3,1,0.0,506.1695322723728,493.83046772762737
3581,96,2,2,2,6,2,1,0,3,1,0.0,506.1690275141422,493.8309724858577
3582,96,2,2,2,6,2,1,0,3,1,0.0,506.1685227559119,493.83147724408803
3583,96,2,2,2,6,2,1,0,3,1,0.0,506.1680179976813,493.8319820023187
3584,96,2,2,2,6,2,1,0,3,1,0.0,506.16751323945095,493.8324867605492
3585,96,2,2,2,6,2,1,0,3,1,0.0,506.1670084812204,493.8329915187794
3586,96,2,2,2,6,2,1,0,3,1,0.0,506.16650372299006,493.83349627700983
3587,96,2,2,2,6,2,1,0,3,1,0.0,506.1659989647597,493.8340010352403
3588,96,2,2,2,6,2,1,0,3,1,0.0,506.16549420652905,493.8345057934711
3589,96,2,2,2,6,2,1,0,3,1,0.0,506.1649894482985,493.8350105517014
3590,96,2,2,2,6,2,1,0,3,1,0.0,506.16448469006826,493.8355153099317
3591,96,2,2,2,6,2,1,0,3,1,0.0,506.1639799318377,493.8360200681623
3592,96,2,2,2,6,2,1,0,3,1,0.0,506.1634751736073,493.83652482639286
3593,96,2,2,2,6,2,1,0,3,1,0.0,506.1629704153768,493.83702958462305
3594,96,2,2,2,6,2,1,0,3,1,0.0,506.1624656571464,493.83753434285353
3595,96,2,2,2,6,2,1,0,3,1,0.0,506.16196089891605,493.83803910108395
3596,96,2,2,2,6,2,1,0,3,1,0.0,506.16145614068546,493.8385438593147
3597,96,2,2,2,6,2,1,0,3,1,0.0,506.16095138245487,493.8390486175451
3598,96,2,2,2,6,2,1,0,3,1,0.0,506.16044662422456,493.8395533757753
3599,96,2,2,2,6,2,1,0,3,1,0.0,506.15994186599397,493.84005813400603
3600,96,2,2,2,6,2,1,0,3,1,0.0,506.1594371077636,493.8405628922365
3601,96,2,2,2,6,2,1,0,3,1,0.0,506.15893234953313,493.84106765046675
3602,96,2,2,2,6,2,1,0,3,1,0.0,506.15842759130277,493.8415724086972
3603,96,2,2,2,6,2,1,0,3,1,0.0,506.1579228330724,493.8420771669276
3604,96,2,2,2,6,2,1,0,3,1,0.0,506.1574180748417,493.8425819251584
3605,96,2,2,2,6,2,1,0,3,1,0.0,506.1569133166112,493.8430866833887
3606,96,2,2,2,6,2,1,0,3,1,0.0,506.1564085583809,493.843591441619
3607,96,2,2,2,6,2,1,0,3,1,0.0,506.1559038001503,493.8440961998497
3608,96,2,2,2,6,2,1,0,3,1,0.0,506.15539904191996,493.8446009580802
3609,96,2,2,2,6,2,1,0,3,1,0.0,506.15489428368943,493.8451057163104
3610,96,2,2,2,6,2,1,0,3,1,0.0,506.15438952545907,493.8456104745408
3611,96,2,2,2,6,2,1,0,3,1,0.0,506.1538847672287,493.8461152327713
3612,96,2,2,2,6,2,1,0,3,1,0.0,506.1533800089981,493.846619991002
3613,96,2,2,2,6,2,1,0,3,1,0.0,506.1528752507675,493.84712474923236
3614,96,2,2,2,6,2,1,0,3,1,0.0,506.1523704925373,493.84762950746267
3615,96,2,2,2,6,2,1,0,3,1,0.0,506.1518657343067,493.8481342656933
3616,96,2,2,2,6,2,1,0,3,1,0.0,506.1513609760763,493.84863902392385
3617,96,2,2,2,6,2,1,0,3,1,0.0,506.1508562178458,493.84914378215404
3618,96,2,2,2,6,2,1,0,3,1,0.0,506.1503514596154,493.8496485403845
3619,96,2,2,2,6,2,1,0,3,1,0.0,506.14984670138506,493.85015329861494
3620,96,2,2,2,6,2,1,0,3,1,0.0,506.1493419431544,493.85065805684576
3621,96,2,2,2,6,2,1,0,3,1,0.0,506.1488371849239,493.85116281507607
3622,96,2,2,2,6,2,1,0,3,1,0.0,506.14833242669357,493.8516675733063
3623,96,2,2,2,6,2,1,0,3,1,0.0,506.147827668463,493.852172331537
3624,96,2,2,2,6,2,1,0,3,1,0.0,506.1473229102326,493.8526770897675
3625,96,2,2,2,6,2,1,0,3,1,0.0,506.14681815200214,493.85318184799775
3626,96,2,2,2,6,2,1,0,3,1,0.0,506.1463133937718,493.85368660622817
3627,96,2,2,2,6,2,1,0,3,1,0.0,506.1458086355414,493.8541913644586
3628,96,2,2,2,6,2,1,0,3,1,0.0,506.1453038773108,493.85469612268935
3629,96,2,2,2,6,2,1,0,3,1,0.0,506.14479911908023,493.8552008809197
3630,96,2,2,2,6,2,1,0,3,1,0.0,506.1442943608499,493.85570563915
3631,96,2,2,2,6,2,1,0,3,1,0.0,506.14378960261934,493.85621039738066
3632,96,2,2,2,6,2,1,0,3,1,0.0,506.143284844389,493.8567151556112
3633,96,2,2,2,6,2,1,0,3,1,0.0,506.14278008615844,493.8572199138414
3634,96,2,2,2,6,2,1,0,3,1,0.0,506.1422753279281,493.8577246720718
3635,96,2,2,2,6,2,1,0,3,1,0.0,506.1417705696977,493.8582294303023
3636,96,2,2,2,6,2,1,0,3,1,0.0,506.14126581146706,493.8587341885331
3637,96,2,2,2,6,2,1,0,3,1,0.0,506.14076105323653,493.85923894676336
3638,96,2,2,2,6,2,1,0,3,1,0.0,506.1402562950063,493.85974370499366
3639,96,2,2,2,6,2,1,0,3,1,0.0,506.1397515367757,493.8602484632243
3640,96,2,2,2,6,2,1,0,3,1,0.0,506.1392467785453,493.86075322145484
3641,96,2,2,2,6,2,1,0,3,1,0.0,506.1387420203148,493.86125797968504
3642,96,2,2,2,6,2,1,0,3,1,0.0,506.13823726208443,493.8617627379155
3643,96,2,2,2,6,2,1,0,3,1,0.0,506.13773250385407,493.86226749614593
3644,96,2,2,2,6,2,1,0,3,1,0.0,506.1372277456235,493.8627722543767
3645,96,2,2,2,6,2,1,0,3,1,0.0,506.1367229873929,493.86327701260706
3646,96,2,2,2,6,2,1,0,3,1,0.0,506.1362182291626,493.8637817708373
3647,96,2,2,2,6,2,1,0,3,1,0.0,506.135713470932,493.864286529068
3648,96,2,2,2,6,2,1,0,3,1,0.0,506.1352087127016,493.8647912872985
3649,96,2,2,2,6,2,1,0,3,1,0.0,506.13470395447115,493.86529604552874
3650,96,2,2,2,6,2,1,0,3,1,0.0,506.1341991962408,493.86580080375916
3651,96,2,2,2,6,2,1,0,3,1,0.0,506.1336944380104,493.8663055619896
3652,96,2,2,2,6,2,1,0,3,1,0.0,506.1331896797797,493.8668103202204
3653,96,2,2,2,6,2,1,0,3,1,0.0,506.13268492154924,493.8673150784507
3654,96,2,2,2,6,2,1,0,3,1,0.0,506.13218016331894,493.867819836681
3655,96,2,2,2,6,2,1,0,3,1,0.0,506.13167540508834,493.86832459491166
3656,96,2,2,2,6,2,1,0,3,1,0.0,506.131170646858,493.8688293531422
3657,96,2,2,2,6,2,1,0,3,1,0.0,506.13066588862745,493.8693341113724
3658,96,2,2,2,6,2,1,0,3,1,0.0,506.1301611303971,493.8698388696028
3659,96,2,2,2,6,2,1,0,3,1,0.0,506.1296563721667,493.8703436278333
3660,96,2,2,2,6,2,1,0,3,1,0.0,506.12915161393613,493.870848386064
3661,96,2,2,2,6,2,1,0,3,1,0.0,506.12864685570554,493.87135314429435
3662,96,2,2,2,6,2,1,0,3,1,0.0,506.1281420974753,493.87185790252465
3663,96,2,2,2,6,2,1,0,3,1,0.0,506.1276373392447,493.8723626607553
3664,96,2,2,2,6,2,1,0,3,1,0.0,506.12713258101434,493.87286741898583
3665,96,2,2,2,6,2,1,0,3,1,0.0,506.1266278227838,493.873372177216
3666,96,2,2,2,6,2,1,0,3,1,0.0,506.12612306455344,493.8738769354465
3667,96,2,2,2,6,2,1,0,3,1,0.0,506.1256183063231,493.8743816936769
3668,96,2,2,2,6,2,1,0,3,1,0.0,506.12511354809243,493.87488645190774
3669,96,2,2,2,6,2,1,0,3,1,0.0,506.1246087898619,493.87539121013805
3670,96,2,2,2,6,2,1,0,3,1,0.0,506.1241040316316,493.8758959683683
3671,96,2,2,2,6,2,1,0,3,1,0.0,506.123599273401,493.876400726599
3672,96,2,2,2,6,2,1,0,3,1,0.0,506.12309451517064,493.8769054848295
3673,96,2,2,2,6,2,1,0,3,1,0.0,506.12258975694016,493.8774102430597
3674,96,2,2,2,6,2,1,0,3,1,0.0,506.1220849987098,493.87791500129015
3675,96,2,2,2,6,2,1,0,3,1,0.0,506.12158024047943,493.87841975952057
3676,96,2,2,2,6,2,1,0,3,1,0.0,506.12107548224884,493.87892451775133
3677,96,2,2,2,6,2,1,0,3,1,0.0,506.12057072401825,493.8794292759817
3678,96,2,2,2,6,2,1,0,3,1,0.0,506.12006596578794,493.879934034212
3679,96,2,2,2,6,2,1,0,3,1,0.0,506.11956120755735,493.88043879244265
3680,96,2,2,2,6,2,1,0,3,1,0.0,506.119056449327,493.8809435506732
3681,96,2,2,2,6,2,1,0,3,1,0.0,506.11855169109646,493.8814483089034
3682,96,2,2,2,6,2,1,0,3,1,0.0,506.1180469328661,493.8819530671338
3683,96,2,2,2,6,2,1,0,3,1,0.0,506.11754217463573,493.88245782536427
3684,96,2,2,2,6,2,1,0,3,1,0.0,506.1170374164051,493.8829625835951
3685,96,2,2,2,6,2,1,0,3,1,0.0,506.11653265817455,493.88346734182534
3686,96,2,2,2,6,2,1,0,3,1,0.0,506.1160278999443,493.88397210005564
3687,96,2,2,2,6,2,1,0,3,1,0.0,506.1155231417137,493.8844768582863
3688,96,2,2,2,6,2,1,0,3,1,0.0,506.11501838348335,493.8849816165168
3689,96,2,2,2,6,2,1,0,3,1,0.0,506.1145136252528,493.885486374747
3690,96,2,2,2,6,2,1,0,3,1,0.0,506.11400886702245,493.8859911329775
3691,96,2,2,2,6,2,1,0,3,1,0.0,506.1135041087921,493.8864958912079
3692,96,2,2,2,6,2,1,0,3,1,0.0,506.1129993505615,493.8870006494387
3693,96,2,2,2,6,2,1,0,3,1,0.0,506.1124945923309,493.88750540766904
3694,96,2,2,2,6,2,1,0,3,1,0.0,506.1119898341006,493.8880101658993
3695,96,2,2,2,6,2,1,0,3,1,0.0,506.11148507587,493.88851492413
3696,96,2,2,2,6,2,1,0,3,1,0.0,506.11098031763964,493.88901968236047
3697,96,2,2,2,6,2,1,0,3,1,0.0,506.11047555940917,493.8895244405907
3698,96,2,2,2,6,2,1,0,3,1,0.0,506.1099708011788,493.89002919882114
3699,96,2,2,2,6,2,1,0,3,1,0.0,506.10946604294844,493.89053395705156
3700,96,2,2,2,6,2,1,0,3,1,0.0,506.10896128471774,493.8910387152824
3701,96,2,2,2,6,2,1,0,3,1,0.0,506.10845652648726,493.8915434735127
3702,96,2,2,2,6,2,1,0,3,1,0.0,506.10795176825695,493.892048231743
3703,96,2,2,2,6,2,1,0,3,1,0.0,506.10744701002636,493.89255298997364
3704,96,2,2,2,6,2,1,0,3,1,0.0,506.106942251796,493.89305774820417
3705,96,2,2,2,6,2,1,0,3,1,0.0,506.10643749356547,493.89356250643436
3706,96,2,2,2,6,2,1,0,3,1,0.0,506.1059327353351,493.8940672646648
3707,96,2,2,2,6,2,1,0,3,1,0.0,506.10542797710474,493.89457202289526
3708,96,2,2,2,6,2,1,0,3,1,0.0,506.10492321887415,493.89507678112597
3709,96,2,2,2,6,2,1,0,3,1,0.0,506.10441846064356,493.89558153935633
3710,96,2,2,2,6,2,1,0,3,1,0.0,506.1039137024133,493.89608629758663
3711,96,2,2,2,6,2,1,0,3,1,0.0,506.1034089441827,493.8965910558173
3712,96,2,2,2,6,2,1,0,3,1,0.0,506.10290418595235,493.8970958140478
3713,96,2,2,2,6,2,1,0,3,1,0.0,506.1023994277218,493.897600572278
3714,96,2,2,2,6,2,1,0,3,1,0.0,506.10189466949146,493.8981053305085
3715,96,2,2,2,6,2,1,0,3,1,0.0,506.1013899112611,493.8986100887389
3716,96,2,2,2,6,2,1,0,3,1,0.0,506.10088515303045,493.8991148469697
3717,96,2,2,2,6,2,1,0,3,1,0.0,506.1003803947999,493.89961960520003
3718,96,2,2,2,6,2,1,0,3,1,0.0,506.0998756365696,493.9001243634303
3719,96,2,2,2,6,2,1,0,3,1,0.0,506.099370878339,493.900629121661
3720,96,2,2,2,6,2,1,0,3,1,0.0,506.09886612010865,493.90113387989146
3721,96,2,2,2,6,2,1,0,3,1,0.0,506.0983613618782,493.9016386381217
3722,96,2,2,2,6,2,1,0,3,1,0.0,506.0978566036478,493.90214339635213
3723,96,2,2,2,6,2,1,0,3,1,0.0,506.09735184541745,493.90264815458255
3724,96,2,2,2,6,2,1,0,3,1,0.0,506.09684708718686,493.9031529128133
3725,96,2,2,2,6,2,1,0,3,1,0.0,506.09634232895627,493.9036576710437
3726,96,2,2,2,6,2,1,0,3,1,0.0,506.09583757072596,493.904162429274
3727,96,2,2,2,6,2,1,0,3,1,0.0,506.09533281249537,493.90466718750463
3728,96,2,2,2,6,2,1,0,3,1,0.0,506.094828054265,493.90517194573516
3729,96,2,2,2,6,2,1,0,3,1,0.0,506.0943232960345,493.90567670396536
3730,96,2,2,2,6,2,1,0,3,1,0.0,506.0938185378041,493.9061814621958
3731,96,2,2,2,6,2,1,0,3,1,0.0,506.09331377957375,493.90668622042625
3732,96,2,2,2,6,2,1,0,3,1,0.0,506.0928090213431,493.90719097865707
