Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
129,168,1,1,1,3,1,1,0,2,30,89,299.4686411468532,688.6265969483851
130,168,1,1,1,3,1,1,0,2,30,89,298.59854607257665,689.4966920226617
131,168,1,1,1,3,1,1,0,2,30,89,297.91212671190976,690.1831113833287
132,168,1,1,1,3,1,1,0,2,30,89,297.4560311312918,690.6392069639465
133,168,1,1,1,3,1,1,0,2,30,89,296.6633474986328,691.431890596606
134,168,1,1,1,3,1,1,0,2,30,89,296.3094930837611,691.7857450114773
135,168,1,1,1,3,1,1,0,2,30,89,295.4464718076849,692.6487662875534
136,168,1,1,1,3,1,1,0,2,30,89,295.0738894494918,693.021348645746
137,168,1,1,1,3,1,1,0,2,30,89,294.7055204985949,693.3897175966428
138,168,1,1,1,3,1,1,0,2,30,89,294.28830158548794,693.8069365097506
139,168,1,1,1,3,1,1,0,2,30,89,293.8970952624338,694.1981428328041
140,168,1,1,1,3,1,1,0,2,30,89,293.613776876343,694.4814612188951
141,168,1,1,1,3,1,1,0,2,30,89,293.0341880993418,695.0610499958968
142,168,1,1,1,3,1,1,0,2,30,89,291.8792752171463,696.2159628780921
143,168,1,1,1,3,1,1,0,2,30,89,290.7014348738282,697.3938032214103
144,168,1,1,1,3,1,1,0,2,30,89,289.1568358987733,698.9384021964652
145,168,1,1,1,3,1,1,0,2,30,89,287.553298489446,700.5419396057914
146,168,1,1,1,3,1,1,0,2,30,89,285.78710923528575,702.3081288599525
147,167,1,1,1,3,1,1,0,2,31,89,280.5665825302962,707.4573695655121
148,167,1,1,1,3,1,1,0,2,31,89,279.4331736340093,708.5907784617998
149,167,1,1,1,3,1,1,0,2,31,89,278.15707851388896,709.8668735819197
150,167,1,1,1,3,1,1,0,2,31,91,318.27907537315906,669.7448767226492
151,166,1,1,1,3,1,1,0,2,32,91,305.55877310965445,682.3930341192611
152,166,1,1,1,3,1,1,0,2,32,91,302.20874733972704,685.7430598891887
153,165,1,1,1,3,1,1,0,2,33,92,295.9166612805581,691.9621265982299
154,165,1,1,1,3,1,1,0,2,33,92,294.2258283724554,693.6529595063324
155,165,1,1,1,3,1,1,0,2,33,92,292.74304595107094,695.1357419277166
156,165,1,1,1,3,1,1,0,2,33,92,291.28564161963936,696.5931462591482
157,165,1,1,1,3,1,1,0,2,33,92,290.53897704130407,697.3398108374837
158,165,1,1,1,3,1,1,0,2,33,92,289.7004222051427,698.1783656736451
159,164,1,1,1,3,1,1,0,2,34,92,284.66321249970366,703.1416655490767
160,164,1,1,1,3,1,1,0,2,34,92,283.9197582671264,703.885119781654
161,164,1,1,1,3,1,1,0,2,34,92,283.1701798283606,704.6346982204196
162,164,1,1,1,3,1,1,0,2,34,92,282.6396692072715,705.1652088415092
163,164,1,1,1,3,1,1,0,2,34,92,282.2809684369507,705.5239096118298
164,164,1,1,1,3,1,1,0,2,34,92,281.8744693783676,705.9304086704128
165,164,1,1,1,3,1,1,0,2,34,92,281.38091550611244,706.4239625426682
166,164,1,1,1,3,1,1,0,2,34,92,280.8528475326825,706.9520305160978
167,164,1,1,1,3,1,1,0,2,34,92,279.8683561454543,707.9365219033261
168,164,1,1,1,3,1,1,0,2,34,92,278.9297582340011,708.8751198147796
169,164,1,1,1,3,1,1,0,2,34,92,277.83358375687004,709.9712942919109
170,164,1,1,1,3,1,1,0,2,34,92,276.46176962514875,711.3431084236317
171,164,1,1,1,3,1,1,0,2,34,92,275.50589757002007,712.2989804787604
172,164,1,1,1,3,1,1,0,2,34,92,274.5721281623219,713.2327498864582
173,164,1,1,1,3,1,1,0,2,34,92,272.9905894407501,714.8142886080298
