Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
4536,60,2,4,8,14,8,27,20,55,209,470,247.97323023312393,535.3601031002095
4537,60,2,4,8,14,8,27,20,55,209,470,246.5518812494085,536.7814520839248
4538,60,2,4,8,14,8,27,20,55,209,470,245.13889008770954,538.1944432456237
4539,60,2,4,8,14,8,27,20,55,209,470,243.73403686284468,539.5992964704888
4540,60,2,4,8,14,8,27,20,55,209,470,242.57967842553782,540.7536549077956
4541,60,2,4,8,14,8,27,20,55,209,470,242.10257626864936,541.230757064684
4542,60,2,4,8,14,8,27,20,55,209,470,241.61269618114818,541.7206371521852
4543,60,2,4,8,14,8,27,20,55,209,470,241.22141477017368,542.1119185631595
4544,60,2,4,8,14,8,27,20,55,209,470,240.72487308985396,542.6084602434794
4545,60,2,4,8,14,8,27,20,55,209,470,240.2330380552136,543.1002952781197
4546,60,2,4,8,14,8,27,20,55,209,470,239.83285250726834,543.500480826065
4547,59,2,4,8,14,8,27,21,56,209,467,233.50142590642176,546.1595910427309
4548,59,2,4,8,14,8,27,21,56,209,467,233.17087873386677,546.4901382152858
4549,59,2,4,8,14,8,27,21,56,209,467,232.7317931025648,546.9292238465877
4550,59,2,4,8,14,8,27,21,56,209,467,232.17841330011584,547.4826036490368
4551,59,2,4,8,14,8,27,21,56,209,467,231.44286508582624,548.2181518633264
4552,59,2,4,8,14,8,27,21,56,209,467,230.77544861869,548.8855683304624
4553,59,2,4,8,14,8,27,21,56,209,467,230.2165537604157,549.4444631887368
4554,59,2,4,8,14,8,27,21,56,209,467,229.5592429270764,550.1017740220763
4555,59,2,4,8,14,8,27,21,56,209,467,228.91098004832472,550.7500369008278
4556,59,2,4,8,14,8,27,21,56,209,467,228.46307595685752,551.197940992295
4557,59,2,4,8,14,8,27,21,56,209,467,227.2726888100614,552.3883281390912
4558,59,2,4,8,14,8,27,21,56,209,467,226.73560729468988,552.9254096544627
4559,59,2,4,8,14,8,27,21,56,209,467,225.84312143330283,553.8178955158498
4560,59,2,4,8,14,8,27,21,56,209,467,259.9513694588196,519.7096474903328
4561,59,2,4,8,14,8,27,21,56,209,467,255.42006127180898,524.2409556773435
4562,59,2,4,8,14,8,27,21,56,209,467,253.6969938347898,525.9640231143626
4563,59,2,4,8,14,8,27,21,56,209,467,252.06746923178298,527.5935477173696
4564,59,2,4,8,14,8,27,21,56,209,467,250.15315968744179,529.5078572617107
4565,59,2,4,8,14,8,27,21,56,209,467,249.09851508719564,530.5625018619571
4566,59,2,4,8,14,8,27,21,56,209,467,248.05285480247576,531.6081621466769
4567,59,2,4,8,14,8,27,21,56,209,467,247.01592083272908,532.6450961164234
4568,59,2,4,8,14,8,27,21,56,209,467,246.08513411290355,533.5758828362491
4569,59,2,4,8,14,8,27,21,56,209,467,245.06314090478133,534.5978760443712
4570,59,2,4,8,14,8,27,21,56,209,467,244.0782198737344,535.5827970754182
4571,59,2,4,8,14,8,27,21,56,209,467,243.4263560771306,536.234660872022
4572,59,2,4,8,14,8,27,21,56,209,467,242.95227161705884,536.7087453320933
4573,59,2,4,8,14,8,27,21,56,209,467,241.74517359260324,537.9158433565495
4574,59,2,4,8,14,8,27,21,56,209,467,241.08024237221701,538.5807745769355
4575,59,2,4,8,14,8,27,21,56,209,467,240.41699579376248,539.2440211553901
4576,59,2,4,8,14,8,27,21,56,209,467,239.63912997306642,540.0218869760862
4577,59,2,4,8,14,8,27,21,56,209,467,238.5107476312064,541.1502693179461
4578,59,2,4,8,14,8,27,21,56,209,467,237.38361688702227,542.2774000621303
4579,59,2,4,8,14,8,27,21,56,209,467,236.16121666691117,543.4998002822417
4580,59,2,4,8,14,8,27,21,56,209,467,235.14733850557963,544.5136784435728
4581,59,2,4,8,14,8,27,21,56,209,467,234.3253331932538,545.3356837558986
4582,59,2,4,8,14,8,27,21,56,209,467,233.50231840817017,546.1586985409825
4583,59,2,4,8,14,8,27,21,56,209,467,232.68499539661653,546.9760215525362
4584,59,2,4,8,14,8,27,21,56,209,467,231.87052626606422,547.7904906830883
4585,59,2,4,8,14,8,27,21,56,209,467,231.15614274666288,548.5048742024898
4586,59,2,4,8,14,8,27,21,56,209,467,230.34841144624775,549.3126055029048
4587,59,2,4,8,14,8,27,21,56,209,467,229.44296839483175,550.2180485543208
4588,59,2,4,8,14,8,27,21,56,209,467,228.62888299863067,551.0321339505218
4589,59,2,4,8,14,8,27,21,56,209,467,227.45504456923732,552.2059723799151
4590,59,2,4,8,14,8,27,21,56,209,471,261.46033575971984,518.2006811894327
4591,59,2,4,8,14,8,27,21,56,209,467,257.04864263399446,522.6123743151581
