Time Unit,Average Fear Level,Average Hunger Level,Average Energy Level
Time Unit,Vervet Population,Predator Population
336,623,370.8045978004594,553.8529364461159
337,623,369.57862979627504,555.0789044503003
338,623,368.4079067480385,556.2496274985372
339,623,367.2735101216957,557.3840241248797
340,623,366.0191554195973,558.6383788269782
341,623,364.84772681978086,559.8098074267941
342,623,363.69046686650864,560.967067380067
343,623,362.8313062823203,561.8262279642547
344,623,362.23913941964605,562.4183948269293
345,623,361.395723337699,563.2618109088761
346,623,360.7681162347018,563.8894180118734
347,623,360.2473771906834,564.4101570558922
348,623,359.52162533733707,565.1359089092383
349,623,359.08176239619087,565.5757718503847
350,623,358.9125302028774,565.7450040436978
351,623,358.73930621813037,565.9182280284452
352,623,358.56348295807294,566.0940512885026
353,623,358.1169562917772,566.5405779547982
354,623,357.55143894104447,567.1060953055312
355,623,356.99788394571385,567.6596503008612
356,623,356.4458222828491,568.2117119637259
357,623,355.7595636721863,568.8979705743892
358,623,354.77463078065205,569.8829034659229
359,623,353.41073197139957,571.2468022751757
360,639,397.5387375257765,527.1187967207989
361,641,386.7376182891736,536.8734928219375
362,641,384.9047692956857,538.7063418154256
363,641,382.89604079667083,540.7150703144403
364,641,379.86679731828247,543.7443137928288
365,641,377.20229989902776,546.408811212083
366,641,374.06464030228705,549.5464708088243
367,641,370.85588942111247,552.7552216899987
368,641,367.2113335451744,556.3997775659366
369,641,363.97254962595906,559.6385614851517
370,641,360.92977819650673,562.6813329146047
371,641,358.14120022914494,565.4699108819658
372,640,356.3385569695044,566.7383661074186
373,640,354.8734313452378,568.2034917316853
374,640,353.8323988208895,569.2445242560332
375,640,352.8010976473713,570.2758254295517
376,640,352.05731169947063,571.0196113774522
377,640,351.3186822611715,571.7582408157518
378,640,350.61550542892087,572.4614176480019
379,640,349.971763522006,573.1051595549173
380,640,349.0533019232807,574.0236211536426
381,640,348.32995935960105,574.7469637173215
382,640,347.4192238251385,575.6576992517846
383,640,346.5136955094936,576.5632275674301
384,640,345.78518707108805,577.291736005835
385,640,344.8956826687619,578.1812404081611
386,640,344.4390468434321,578.6378762334913
387,640,343.8536941066833,579.2232289702395
388,640,343.49030028396373,579.5866227929597
389,639,344.86026679787375,577.6749444697317
390,638,390.99322592877905,531.5419853388266
391,647,375.4075534385021,545.455755914016
392,647,374.5859080740664,546.2774012784516
393,647,373.75236729365145,547.1109420588666
394,647,372.9021456384118,547.9611637141063
395,647,372.216951550213,548.6463578023048
396,647,370.37503995011537,550.4882694024026
397,647,367.8554962041752,553.0078131483427
398,647,365.56328976301353,555.3000195895042
399,647,363.729991760477,557.133317592041
400,647,362.01104764759083,558.852261704927
401,647,360.4111027744424,560.4522065780754
402,647,359.3313362662727,561.5319730862456
403,647,358.4074363640406,562.4558729884776
404,647,357.5151551685585,563.3481541839595
405,647,356.36030815083586,564.5030012016821
406,647,355.44733653800375,565.415972814514
407,647,354.58723723223227,566.2760721202854
408,647,353.5778837888472,567.2854255636706
409,647,352.6723073485364,568.1910020039815
410,647,352.0423133541517,568.8209959983659
411,647,351.3925777983848,569.4707315541333
412,647,350.6934794109572,570.1698299415609
413,652,344.9251554985418,575.3646995739219
414,652,343.7632741731286,576.5265808993349
415,652,342.8947338892887,577.3951211831752
416,652,342.07551560270616,578.2143394697581
417,651,339.9362852699461,579.771743927134
418,651,338.86079060276325,580.8472385943171
419,651,337.68098597890685,582.0270432181734
420,650,384.98224970877976,534.1353973500438
421,652,373.57842826678706,544.3320194944071
422,652,371.4524995492011,546.457948211993
423,652,369.46027641944175,548.4501713417525
424,652,367.29495124738344,550.6154965138107
425,652,365.0912406567062,552.8192071044876
426,652,362.88974473023166,555.0207030309623
427,652,359.91514468186773,557.9953030793263
428,652,357.1106323839425,560.7998153772512
429,652,354.2093056617887,563.701142099405
430,652,351.96169203031894,565.9487557308754
431,652,350.5100960058211,567.4003517553732
432,652,349.6022145418391,568.308233219355
433,652,348.54836077560464,569.3620869855893
434,651,342.7957797766269,574.49745330608
435,651,342.03608917691713,575.2571439057895
436,651,341.14751491627976,576.1457181664266
437,651,340.17115632843496,577.1220767542715
438,651,339.094826767355,578.198406315352
439,651,337.87826169107353,579.4149713916336
440,651,336.9276548316724,580.3655782510341
441,651,336.09894707313913,581.1942860095677
442,651,335.2847000729417,582.008533009765
443,651,334.4977879675971,582.7954451151098
444,651,333.94837953167723,583.3448535510296
445,651,333.5573395635021,583.7358935192046
446,651,333.021575658871,584.2716574238354
447,651,332.2121368353846,585.0810962473222
448,651,331.5281114173065,585.7651216654003
449,651,330.6779133216901,586.6153197610167
450,657,376.4604378661621,540.8327952165449
451,654,365.00823504049896,551.022299310646
452,654,363.6895822805362,552.3409520706089
453,654,362.4526471779083,553.577887173237
454,654,360.6789708814001,555.3515634697451
455,654,358.5968364729502,557.433697878195
456,654,356.90963151107576,559.120902840069
457,654,354.67465593032375,561.3558784208213
458,654,352.41610682634933,563.6144275247957
459,654,351.52459729456496,564.5059370565799
460,654,350.8070906134114,565.2234437377338
461,654,350.1419843419477,565.8885500091975
462,654,349.4714252537486,566.5591090973967
463,654,348.3767671736581,567.6537671774868
464,654,347.34846768104023,568.6820666701049
465,654,346.3658459990118,569.6646883521333
466,654,344.9514375678316,571.0790967833136
467,654,343.44733663501495,572.58319771613
468,654,342.0709568837093,573.9595774674358
469,654,341.02352377585726,575.0070105752877
470,654,340.40243878088006,575.6280955702654
471,654,340.07387100774673,575.9566633433983
472,654,339.6914129407422,576.339121410403
473,654,338.9422404945234,577.0882938566214
474,654,338.2099379878994,577.8205963632457
475,654,337.646085892481,578.3844484586643
476,654,337.2239135097546,578.8066208413901
477,654,336.8505652443911,579.1799691067541
478,654,336.5075472672574,579.5229870838878
479,654,336.16980464526074,579.8607297058845
480,653,381.5293245505724,534.5012098005725
481,658,376.08908259316405,539.295532791451
482,658,375.7950880588472,539.5895273257684
483,658,375.2437244256807,540.1408909589346
484,658,374.21259949019094,541.1720158944247
485,658,372.8094564883997,542.5751588962157
486,658,370.5736338205188,544.8109815640966
487,658,368.7628493201333,546.6217660644819
488,658,367.6893769289453,547.6952384556704
489,658,366.4807800769303,548.9038353076851
490,658,365.7615399435954,549.6230754410199
491,658,365.05857664468186,550.3260387399333
492,658,363.9961309182571,551.3884844663581
493,658,363.33804728231036,552.0465681023046
494,658,362.5767847336213,552.8078306509938
495,658,361.59279944559177,553.7918159390238
496,658,360.73796303643604,554.6466523481793
497,658,359.654309070945,555.7303063136702
498,658,358.47774507688126,556.9068703077346
499,658,357.25786008305846,558.1267553015571
500,658,355.95093266365984,559.4336827209553
501,658,354.50610700181875,560.8785083827967
502,658,352.7643202927615,562.6202950918539
503,658,351.0610963149852,564.3235190696303
504,658,349.12327358069086,566.2613418039246
505,658,347.2488588113892,568.135756573226
506,658,345.68605214750744,569.6985632371078
507,658,344.0322373016426,571.352378082973
508,658,342.7058370054913,572.6787783791239
509,658,340.8601096043965,574.524505780219
510,685,384.53987551343636,530.8447398711788
511,684,377.05553344279866,537.6731487277439
512,684,375.3705190229414,539.3581631476013
513,684,373.64667582653743,541.0820063440051
514,684,371.98384510617933,542.7448370643632
515,684,369.96623098819964,544.762451182343
516,684,367.7105872719928,547.01809489855
517,684,365.93381787192567,548.7948642986167
518,684,364.33840206190774,550.390280108635
519,684,362.81375475200554,551.9149274185373
520,683,356.5545859845026,557.5079140154971
521,683,355.2219672668981,558.8405327331017
522,683,354.2901850976145,559.7723149023856
523,683,353.40121469200386,560.6612853079966
524,683,352.57709684433274,561.4854031556673
525,683,351.61946285673326,562.4430371432668
526,683,350.6653599146017,563.3971400853983
527,683,349.90443583643554,564.1580641635645
528,683,349.10188909824825,564.9606109017519
529,683,348.4180217303522,565.6444782696474
530,683,347.6883317994324,566.3741682005677
531,683,346.37022880150937,567.6922711984904
532,683,344.83567479268623,569.2268252073137
533,683,343.69194969214817,570.3705503078519
534,683,342.5604483436448,571.5020516563553
535,683,341.5762469843625,572.4862530156374
536,683,340.61157752295856,573.4509224770419
537,683,339.75178547312873,574.3107145268708
538,688,334.6177458135479,578.7680809581054
539,688,333.5507595778432,579.8350671938105
540,681,376.445679951272,536.9401468203813
541,680,367.48325535613594,545.2151573422765
542,680,365.0931317481439,547.6052809502687
543,680,362.963797531457,549.7346151669559
544,680,361.16288303496304,551.5355296634494
545,680,359.4694298380712,553.2289828603413
546,680,357.6679477630382,555.0304649353743
547,680,356.0125468625042,556.6858658359083
548,680,354.6874066709596,558.0110060274532
549,680,353.52384242419265,559.17457027422
550,680,352.3200055177647,560.3784071806482
551,680,351.27085813662364,561.4275545617891
552,680,350.2310853333496,562.4673273650634
553,680,349.29687457777004,563.4015381206427
554,680,348.2638930517659,564.4345196466467
555,680,347.3020880612779,565.3963246371346
556,680,346.18516990328754,566.5132427951254
557,680,345.22506296292414,567.4733497354885
558,680,344.4077964761119,568.2906162223007
559,680,343.5436741840496,569.154738514363
560,680,342.7806663633526,569.9177463350601
561,680,342.24698864884573,570.4514240495674
562,680,341.24128686228926,571.4571258361234
563,680,340.1344636953929,572.5639490030202
564,680,339.1000052864,573.5984074120126
565,680,337.89173147262517,574.8066812257873
566,680,337.0030054727183,575.6954072256945
567,680,336.24607864135737,576.4523340570554
568,680,335.5804965840133,577.1179161143993
569,680,334.71325358064837,577.9851591177642
570,677,378.31659520131467,534.3818174970978
571,676,370.8237559614175,541.1762440385825
572,676,369.0039255803951,542.996074419605
573,676,367.69583081975406,544.3041691802458
574,676,366.52750164570256,545.4724983542974
575,676,365.5187156726608,546.4812843273393
576,676,364.51848202738154,547.4815179726188
577,676,363.90667014799396,548.093329852006
578,676,363.40316247252326,548.5968375274764
579,676,362.9438950911125,549.0561049088875
580,676,362.4088642724104,549.5911357275897
581,676,362.0260471754329,549.9739528245666
582,676,361.85948185895165,550.1405181410483
583,676,361.2471764602964,550.7528235397034
584,676,360.90740529959965,551.0925947004006
585,676,360.48575051306193,551.5142494869383
586,676,360.11379525363026,551.8862047463695
587,676,359.7497841460895,552.2502158539106
588,676,359.5496888439522,552.4503111560477
589,676,358.9879738715898,553.0120261284103
590,676,358.24577676427225,553.7542232357279
591,676,357.56285818407747,554.4371418159227
592,676,356.67843534823203,555.3215646517679
593,676,355.9037572495431,556.0962427504568
594,676,354.80311974629797,557.1968802537021
595,676,354.0751570345478,557.9248429654525
596,676,353.4385945328905,558.5614054671092
597,676,352.99910104253155,559.0008989574686
598,676,352.4712489530851,559.5287510469146
599,676,352.00865689908693,559.9913431009131
600,680,395.1898204784257,516.8101795215741
601,676,372.3712150853438,536.7196940055652
602,676,370.7899646024793,538.3009444884298
603,676,369.24666858470755,539.8442405062016
604,675,362.47791481426106,545.8554185190723
605,675,361.0123941928376,547.3209391404956
606,675,359.82148259943216,548.5118507339014
607,680,360.4512736083665,547.1117516017177
608,680,358.9040532474538,548.6589719626303
609,680,357.46551177662286,550.0975134334611
610,680,356.2402913873119,551.3227338227722
611,680,355.20051606908186,552.3625091410021
612,680,354.49517131130057,553.0678538987833
613,680,353.751243435663,553.811781774421
614,680,352.44968799048866,555.1133372195955
615,680,351.30536572979184,556.2576594802923
616,680,350.1346113325237,557.4284138775605
617,680,348.5579345443137,559.0050906657704
618,680,347.194902715568,560.3681224945162
619,680,346.3182923732777,561.2447328368061
620,680,344.93393206523547,562.6290931448484
621,680,343.4536365415045,564.1093886685795
622,680,341.94108255956564,565.6219426505182
623,680,340.6414718454593,566.9215533646246
624,680,339.2600952777832,568.3029299323011
625,680,337.0070262602701,570.5559989498138
626,680,334.8032879003443,572.7597373097399
627,680,333.0703930245034,574.492632185581
628,680,331.50095532351617,576.062069886568
629,680,329.6208888236435,577.9421363864404
630,695,372.44172184553395,535.1213033645502
631,694,365.13869221681955,541.6409688001298
632,694,363.33305799464574,543.4466030223033
633,694,361.901543651844,544.8781173651054
634,694,360.54311392552574,546.2365470914233
635,694,359.3206597679298,547.4590012490194
636,694,358.39784046923637,548.3818205477129
637,694,357.45061654249076,549.3290444744582
638,694,356.34653242672476,550.4331285902243
639,694,356.0394388864409,550.7402221305081
640,694,355.59095546291223,551.1887055540367
641,694,355.3463458166321,551.4333152003168
642,694,355.112519756338,551.6671412606112
643,694,355.01393624204843,551.7657247749007
644,694,354.4419617217948,552.3376992951544
645,694,354.35934682465773,552.4203141922909
646,694,354.0606291896767,552.7190318272721
647,694,353.58226454736985,553.1973964695795
648,694,352.950162135629,553.8294988813203
649,694,352.4347489138607,554.3449121030885
650,694,351.5066700378088,555.2729909791403
651,694,350.5273972866394,556.2522637303094
652,694,349.8094063453652,556.970254671584
653,694,348.82267907295824,557.9569819439912
654,694,348.10194689902244,558.6777141179267
655,694,347.38976490702794,559.3898961099211
656,694,347.02628826412786,559.7533727528208
657,694,346.6682561080861,560.1114049088632
658,694,346.5071996722264,560.2724613447228
659,694,346.25373918470166,560.5259218322476
660,706,390.4342977202437,516.3453632967055
661,706,389.6361952663265,517.1434657506227
662,706,388.6687296700905,518.1109313468586
663,706,387.8833631971427,518.8962978198064
664,706,387.4532044516417,519.3264565653075
665,706,386.9351550345813,519.8445059823679
666,705,381.42024033171646,524.5626656511897
667,705,380.5645927901392,525.4183131927667
668,705,379.4058719592271,526.5770340236792
669,705,378.25635068239154,527.7265553005144
670,705,376.719369985303,529.263535997603
671,705,375.30608309036774,530.6768228925381
672,705,374.1605504248654,531.8223555580405
673,705,373.2128802432699,532.770025739636
674,705,372.2329328643223,533.749973118584
675,705,371.2303030938293,534.7526028890767
676,705,369.63035025214305,536.3525557307628
677,705,367.6913151935089,538.2915907893972
678,703,367.12140013215145,538.0510136609522
679,703,364.8477743742513,540.324639418852
680,703,363.1209353200212,542.0514784730823
681,703,361.8365834100667,543.3358303830365
682,703,360.62433623140834,544.548077561695
683,703,359.31689170446236,545.8555220886408
684,703,358.4159241727636,546.7564896203398
685,702,351.82690749728386,552.5209185896728
686,702,350.98163048570376,553.3661956012529
687,702,349.9961027052496,554.351723381707
688,702,349.3100054307981,555.0378206561583
689,702,348.6032825853086,555.7445435016479
690,700,390.83983151811833,513.5079945688381
691,698,382.66849505734496,520.8402768724794
692,698,380.745363993855,522.7634079359696
693,698,378.81322024521626,524.6955516846084
694,698,377.2294477834209,526.279324146404
695,698,374.8031647762674,528.7056071535575
696,698,372.4285315548404,531.0802403749842
697,698,370.8987032936763,532.6100686361483
698,698,368.9265364271376,534.5822355026868
